w_lgb,wmae
0.6,1802.3308718864243
0.61,1802.3334104337503
0.59,1802.355868742094
0.62,1802.3624607410002
0.58,1802.4049548244723
0.63,1802.4206297205665
0.5700000000000001,1802.4809642888865
0.64,1802.50208464419
0.56,1802.5819232744811
0.65,1802.6103586675458
0.55,1802.7182355509085
0.66,1802.739689868572
0.54,1802.8838375796834
0.67,1802.892836744252
0.68,1803.077526234092
0.53,1803.0823051689395
0.6900000000000001,1803.2864777567645
0.52,1803.3049912823728
0.7000000000000001,1803.519966304138
0.51,1803.5547546928244
0.71,1803.7797253658246
0.5,1803.8281123920754
0.72,1804.0702844354162
0.49,1804.1299467203687
0.73,1804.3893922204334
0.48,1804.4564331455533
0.74,1804.7375589449516
0.47000000000000003,1804.8060331802321
0.75,1805.1098769443083
0.46,1805.1811143112404
